"id","type","symbol","lifecycle","owner","replacement","earliest_removal","namespace_entry"
"class:ngeo_object_manifest","class","ngeo_object_manifest","stable","reproducibility-engineering","","",""
"class:ngeo_operator_graph","class","ngeo_operator_graph","stable","neuroimaging-methods","","",""
"class:ngeo_operator_path","class","ngeo_operator_path","stable","neuroimaging-methods","","",""
"class:ngeo_parcellation","class","ngeo_parcellation","stable","core-api","","",""
"class:ngeo_parcellation_base","class","ngeo_parcellation_base","stable","core-api","","",""
"class:ngeo_parcellation_inference","class","ngeo_parcellation_inference","stable","core-api","","",""
"class:ngeo_partition","class","ngeo_partition","stable","neuroimaging-methods","","",""
"class:ngeo_permutation_control","class","ngeo_permutation_control","stable","core-api","","",""
"class:ngeo_point","class","ngeo_point","stable","core-api","","",""
"class:ngeo_point_base","class","ngeo_point_base","stable","core-api","","",""
"class:ngeo_qc","class","ngeo_qc","stable","core-api","","",""
"class:ngeo_relation","class","ngeo_relation","stable","core-api","","",""
"class:ngeo_replay_manifest","class","ngeo_replay_manifest","stable","reproducibility-engineering","","",""
"class:ngeo_replay_result","class","ngeo_replay_result","stable","reproducibility-engineering","","",""
"class:ngeo_replay_step","class","ngeo_replay_step","stable","reproducibility-engineering","","",""
"class:ngeo_replay_validation_report","class","ngeo_replay_validation_report","stable","reproducibility-engineering","","",""
"class:ngeo_resampling_diagnostics","class","ngeo_resampling_diagnostics","stable","neuroimaging-methods","","",""
"class:ngeo_resampling_plan","class","ngeo_resampling_plan","stable","neuroimaging-methods","","",""
"class:ngeo_resampling_result","class","ngeo_resampling_result","stable","neuroimaging-methods","","",""
"class:ngeo_resistance_distance","class","ngeo_resistance_distance","stable","statistical-methods","","",""
"class:ngeo_resource_budget","class","ngeo_resource_budget","stable","reproducibility-engineering","","",""
"class:ngeo_solver_control","class","ngeo_solver_control","stable","core-api","","",""
"class:ngeo_spatial_basis","class","ngeo_spatial_basis","stable","statistical-methods","","",""
"class:ngeo_spatial_lm","class","ngeo_spatial_lm","stable","statistical-methods","","",""
"class:ngeo_spatial_ordination","class","ngeo_spatial_ordination","experimental","statistical-methods","","",""
"class:ngeo_spatial_regression","class","ngeo_spatial_regression","stable","statistical-methods","","",""
"class:ngeo_spatial_regression_uncertainty","class","ngeo_spatial_regression_uncertainty","stable","statistical-methods","","",""
"class:ngeo_spatial_weights","class","ngeo_spatial_weights","stable","statistical-methods","","",""
"class:ngeo_spatiotemporal_moran","class","ngeo_spatiotemporal_moran","stable","statistical-methods","","",""
"class:ngeo_spatiotemporal_variogram","class","ngeo_spatiotemporal_variogram","stable","statistical-methods","","",""
"class:ngeo_spatiotemporal_weights","class","ngeo_spatiotemporal_weights","stable","core-api","","",""
"class:ngeo_stream_lm","class","ngeo_stream_lm","stable","core-api","","",""
"class:ngeo_stream_moran","class","ngeo_stream_moran","stable","statistical-methods","","",""
"class:ngeo_stream_summary","class","ngeo_stream_summary","stable","core-api","","",""
"class:ngeo_subject_features","class","ngeo_subject_features","stable","core-api","","",""
"class:ngeo_support_adjustment","class","ngeo_support_adjustment","stable","neuroimaging-methods","","",""
"class:ngeo_support_bundle_output","class","ngeo_support_bundle_output","stable","neuroimaging-methods","","",""
"class:ngeo_support_condition","class","ngeo_support_condition","stable","neuroimaging-methods","","",""
"class:ngeo_support_covariance","class","ngeo_support_covariance","stable","neuroimaging-methods","","",""
"class:ngeo_support_diagnostics","class","ngeo_support_diagnostics","stable","neuroimaging-methods","","",""
"class:ngeo_support_ensemble","class","ngeo_support_ensemble","stable","neuroimaging-methods","","",""
"class:ngeo_support_map","class","ngeo_support_map","stable","neuroimaging-methods","","",""
"class:ngeo_support_model","class","ngeo_support_model","stable","neuroimaging-methods","","",""
"class:ngeo_support_model_ensemble","class","ngeo_support_model_ensemble","stable","neuroimaging-methods","","",""
"class:ngeo_support_sensitivity","class","ngeo_support_sensitivity","stable","neuroimaging-methods","","",""
"class:ngeo_support_test","class","ngeo_support_test","stable","neuroimaging-methods","","",""
"class:ngeo_support_uncertainty","class","ngeo_support_uncertainty","stable","neuroimaging-methods","","",""
"class:ngeo_surface","class","ngeo_surface","stable","core-api","","",""
"class:ngeo_surface_base","class","ngeo_surface_base","stable","core-api","","",""
"class:ngeo_temporal_moran","class","ngeo_temporal_moran","stable","statistical-methods","","",""
"class:ngeo_temporal_variogram","class","ngeo_temporal_variogram","stable","statistical-methods","","",""
"class:ngeo_temporal_weights","class","ngeo_temporal_weights","stable","core-api","","",""
"class:ngeo_time_axis","class","ngeo_time_axis","stable","core-api","","",""
"class:ngeo_transform","class","ngeo_transform","stable","core-api","","",""
"class:ngeo_transform_graph","class","ngeo_transform_graph","stable","core-api","","",""
"class:ngeo_transform_graph_diagnostics","class","ngeo_transform_graph_diagnostics","stable","core-api","","",""
"class:ngeo_transform_path","class","ngeo_transform_path","stable","core-api","","",""
"class:ngeo_variogram","class","ngeo_variogram","stable","statistical-methods","","",""
"class:ngeo_variogram_fit","class","ngeo_variogram_fit","stable","statistical-methods","","",""
"class:ngeo_variogram_uncertainty","class","ngeo_variogram_uncertainty","stable","statistical-methods","","",""
"class:ngeo_volume","class","ngeo_volume","stable","core-api","","",""
"class:ngeo_volume_base","class","ngeo_volume_base","stable","core-api","","",""
"class:ngeo_warning","class","ngeo_warning","stable","core-api","","",""
"class:ngeo_wavelet_coupling","class","ngeo_wavelet_coupling","stable","statistical-methods","","",""
"export:aggregate_to","export","aggregate_to","stable","neuroimaging-methods","","","export(aggregate_to)"
"export:as_igraph","export","as_igraph","stable","core-api","","","export(as_igraph)"
"export:as_spdep_listw","export","as_spdep_listw","stable","core-api","","","export(as_spdep_listw)"
"export:as_spdep_nb","export","as_spdep_nb","stable","core-api","","","export(as_spdep_nb)"
"export:base_elements","export","base_elements","stable-compatibility","core-api","ngeo_base_elements","7.0.0","export(base_elements)"
"export:base_hash","export","base_hash","stable-compatibility","reproducibility-engineering","ngeo_base_hash","7.0.0","export(base_hash)"
"export:base_signature","export","base_signature","stable","reproducibility-engineering","","","export(base_signature)"
"export:base_type","export","base_type","stable-compatibility","core-api","ngeo_base_type","7.0.0","export(base_type)"
"export:history","export","history","stable-compatibility","core-api","ngeo_history","7.0.0","export(history)"
"export:layers","export","layers","stable-compatibility","core-api","ngeo_layers","7.0.0","export(layers)"
"export:measures","export","measures","stable-compatibility","core-api","ngeo_measures","7.0.0","export(measures)"
"export:ngeo_add_transform","export","ngeo_add_transform","stable","core-api","","","export(ngeo_add_transform)"
"export:ngeo_adjacency","export","ngeo_adjacency","stable","core-api","","","export(ngeo_adjacency)"
"export:ngeo_affine_grid_map","export","ngeo_affine_grid_map","stable","core-api","","","export(ngeo_affine_grid_map)"
"export:ngeo_aggregate","export","ngeo_aggregate","stable","neuroimaging-methods","","","export(ngeo_aggregate)"
"export:ngeo_apply_regionalization","export","ngeo_apply_regionalization","stable","statistical-methods","","","export(ngeo_apply_regionalization)"
"export:ngeo_apply_transform","export","ngeo_apply_transform","stable","core-api","","","export(ngeo_apply_transform)"
"export:ngeo_apply_transform_path","export","ngeo_apply_transform_path","stable","core-api","","","export(ngeo_apply_transform_path)"
"export:ngeo_artifact_manifest","export","ngeo_artifact_manifest","stable","reproducibility-engineering","","","export(ngeo_artifact_manifest)"
"export:ngeo_as_sf","export","ngeo_as_sf","stable","core-api","","","export(ngeo_as_sf)"
"export:ngeo_atlas_compare","export","ngeo_atlas_compare","stable","neuroimaging-methods","","","export(ngeo_atlas_compare)"
"export:ngeo_atlas_map","export","ngeo_atlas_map","stable","neuroimaging-methods","","","export(ngeo_atlas_map)"
"export:ngeo_atlas_overlap","export","ngeo_atlas_overlap","stable","neuroimaging-methods","","","export(ngeo_atlas_overlap)"
"export:ngeo_atlas_robust_effect","export","ngeo_atlas_robust_effect","stable","neuroimaging-methods","","","export(ngeo_atlas_robust_effect)"
"export:ngeo_base_elements","export","ngeo_base_elements","stable","core-api","","","export(ngeo_base_elements)"
"export:ngeo_base_hash","export","ngeo_base_hash","stable","reproducibility-engineering","","","export(ngeo_base_hash)"
"export:ngeo_base_signature","export","ngeo_base_signature","stable","reproducibility-engineering","","","export(ngeo_base_signature)"
"export:ngeo_base_type","export","ngeo_base_type","stable","core-api","","","export(ngeo_base_type)"
"export:ngeo_basis_project","export","ngeo_basis_project","stable","core-api","","","export(ngeo_basis_project)"
"export:ngeo_bids_build_name","export","ngeo_bids_build_name","stable","io","","","export(ngeo_bids_build_name)"
"export:ngeo_bids_parse_name","export","ngeo_bids_parse_name","stable","io","","","export(ngeo_bids_parse_name)"
"export:ngeo_bids_sidecar","export","ngeo_bids_sidecar","stable","io","","","export(ngeo_bids_sidecar)"
"export:ngeo_bind_layers","export","ngeo_bind_layers","stable","core-api","","","export(ngeo_bind_layers)"
"export:ngeo_boundary","export","ngeo_boundary","stable","core-api","","","export(ngeo_boundary)"
"export:ngeo_boundary_sensitivity","export","ngeo_boundary_sensitivity","stable","core-api","","","export(ngeo_boundary_sensitivity)"
"export:ngeo_boundary_test","export","ngeo_boundary_test","stable","core-api","","","export(ngeo_boundary_test)"
"export:ngeo_brain_landscape","export","ngeo_brain_landscape","stable","statistical-methods","","","export(ngeo_brain_landscape)"
"export:ngeo_brain_point_process","export","ngeo_brain_point_process","stable","statistical-methods","","","export(ngeo_brain_point_process)"
"export:ngeo_build_resampling_map","export","ngeo_build_resampling_map","stable","neuroimaging-methods","","","export(ngeo_build_resampling_map)"
"export:ngeo_capabilities","export","ngeo_capabilities","stable","core-api","","","export(ngeo_capabilities)"
"export:ngeo_car","export","ngeo_car","stable","statistical-methods","","","export(ngeo_car)"
"export:ngeo_car_iterative","export","ngeo_car_iterative","stable","statistical-methods","","","export(ngeo_car_iterative)"
"export:ngeo_car_uncertainty","export","ngeo_car_uncertainty","stable","statistical-methods","","","export(ngeo_car_uncertainty)"
"export:ngeo_chart_distortion","export","ngeo_chart_distortion","stable","core-api","","","export(ngeo_chart_distortion)"
"export:ngeo_common_support_test","export","ngeo_common_support_test","stable","neuroimaging-methods","","","export(ngeo_common_support_test)"
"export:ngeo_components","export","ngeo_components","stable","core-api","","","export(ngeo_components)"
"export:ngeo_compose_support_map","export","ngeo_compose_support_map","stable","neuroimaging-methods","","","export(ngeo_compose_support_map)"
"export:ngeo_compose_transform","export","ngeo_compose_transform","stable","core-api","","","export(ngeo_compose_transform)"
"export:ngeo_contiguous_regionalization","export","ngeo_contiguous_regionalization","stable","statistical-methods","","","export(ngeo_contiguous_regionalization)"
"export:ngeo_coordinate_space","export","ngeo_coordinate_space","stable","core-api","","","export(ngeo_coordinate_space)"
"export:ngeo_coordinate_space_audit","export","ngeo_coordinate_space_audit","stable","core-api","","","export(ngeo_coordinate_space_audit)"
"export:ngeo_coordinate_space_hash","export","ngeo_coordinate_space_hash","stable","reproducibility-engineering","","","export(ngeo_coordinate_space_hash)"
"export:ngeo_coordinate_space_registry","export","ngeo_coordinate_space_registry","stable","core-api","","","export(ngeo_coordinate_space_registry)"
"export:ngeo_coregionalization","export","ngeo_coregionalization","experimental","core-api","","","export(ngeo_coregionalization)"
"export:ngeo_correlogram","export","ngeo_correlogram","stable","core-api","","","export(ngeo_correlogram)"
"export:ngeo_cortical_layout","export","ngeo_cortical_layout","stable","core-api","","","export(ngeo_cortical_layout)"
"export:ngeo_cortical_map","export","ngeo_cortical_map","stable","core-api","","","export(ngeo_cortical_map)"
"export:ngeo_cortical_map_data","export","ngeo_cortical_map_data","stable","core-api","","","export(ngeo_cortical_map_data)"
"export:ngeo_cross_atlas","export","ngeo_cross_atlas","stable","neuroimaging-methods","","","export(ngeo_cross_atlas)"
"export:ngeo_cross_atlas_consensus","export","ngeo_cross_atlas_consensus","stable","neuroimaging-methods","","","export(ngeo_cross_atlas_consensus)"
"export:ngeo_distance","export","ngeo_distance","stable","core-api","","","export(ngeo_distance)"
"export:ngeo_environment_snapshot","export","ngeo_environment_snapshot","stable","core-api","","","export(ngeo_environment_snapshot)"
"export:ngeo_example_data","export","ngeo_example_data","stable","core-api","","","export(ngeo_example_data)"
"export:ngeo_exchangeability","export","ngeo_exchangeability","stable","core-api","","","export(ngeo_exchangeability)"
"export:ngeo_export_history","export","ngeo_export_history","stable","core-api","","","export(ngeo_export_history)"
"export:ngeo_file_values","export","ngeo_file_values","stable","io","","","export(ngeo_file_values)"
"export:ngeo_file_values_identity","export","ngeo_file_values_identity","stable","io","","","export(ngeo_file_values_identity)"
"export:ngeo_fit_variogram","export","ngeo_fit_variogram","stable","statistical-methods","","","export(ngeo_fit_variogram)"
"export:ngeo_flatten_surface","export","ngeo_flatten_surface","stable","core-api","","","export(ngeo_flatten_surface)"
"export:ngeo_freeze_regionalization","export","ngeo_freeze_regionalization","stable","statistical-methods","","","export(ngeo_freeze_regionalization)"
"export:ngeo_geary","export","ngeo_geary","stable","statistical-methods","","","export(ngeo_geary)"
"export:ngeo_get_time_axis","export","ngeo_get_time_axis","stable","core-api","","","export(ngeo_get_time_axis)"
"export:ngeo_getis_ord","export","ngeo_getis_ord","stable","core-api","","","export(ngeo_getis_ord)"
"export:ngeo_grayordinate","export","ngeo_grayordinate","stable","core-api","","","export(ngeo_grayordinate)"
"export:ngeo_group_test","export","ngeo_group_test","stable","statistical-methods","","","export(ngeo_group_test)"
"export:ngeo_gwr","export","ngeo_gwr","stable","statistical-methods","","","export(ngeo_gwr)"
"export:ngeo_gwr_bandwidth","export","ngeo_gwr_bandwidth","stable","statistical-methods","","","export(ngeo_gwr_bandwidth)"
"export:ngeo_gwr_uncertainty","export","ngeo_gwr_uncertainty","stable","statistical-methods","","","export(ngeo_gwr_uncertainty)"
"export:ngeo_history","export","ngeo_history","stable","core-api","","","export(ngeo_history)"
"export:ngeo_history_dag","export","ngeo_history_dag","stable","core-api","","","export(ngeo_history_dag)"
"export:ngeo_hotspot_group_features","export","ngeo_hotspot_group_features","stable","statistical-methods","","","export(ngeo_hotspot_group_features)"
"export:ngeo_inference_contract","export","ngeo_inference_contract","stable","core-api","","","export(ngeo_inference_contract)"
"export:ngeo_invert_transform","export","ngeo_invert_transform","stable","core-api","","","export(ngeo_invert_transform)"
"export:ngeo_iterative_solve","export","ngeo_iterative_solve","stable","core-api","","","export(ngeo_iterative_solve)"
"export:ngeo_kernel_regression","export","ngeo_kernel_regression","stable","core-api","","","export(ngeo_kernel_regression)"
"export:ngeo_kriging","export","ngeo_kriging","stable","statistical-methods","","","export(ngeo_kriging)"
"export:ngeo_kriging_uncertainty","export","ngeo_kriging_uncertainty","stable","statistical-methods","","","export(ngeo_kriging_uncertainty)"
"export:ngeo_label_overlap_map","export","ngeo_label_overlap_map","stable","core-api","","","export(ngeo_label_overlap_map)"
"export:ngeo_labels","export","ngeo_labels","stable","core-api","","","export(ngeo_labels)"
"export:ngeo_layer_coupling","export","ngeo_layer_coupling","stable","core-api","","","export(ngeo_layer_coupling)"
"export:ngeo_layer_index","export","ngeo_layer_index","stable","core-api","","","export(ngeo_layer_index)"
"export:ngeo_layer_view","export","ngeo_layer_view","stable","core-api","","","export(ngeo_layer_view)"
"export:ngeo_layers","export","ngeo_layers","stable","core-api","","","export(ngeo_layers)"
"export:ngeo_local_layer_coupling","export","ngeo_local_layer_coupling","stable","statistical-methods","","","export(ngeo_local_layer_coupling)"
"export:ngeo_local_moran","export","ngeo_local_moran","stable","statistical-methods","","","export(ngeo_local_moran)"
"export:ngeo_logdet_approx","export","ngeo_logdet_approx","stable","core-api","","","export(ngeo_logdet_approx)"
"export:ngeo_logical_hash","export","ngeo_logical_hash","stable","reproducibility-engineering","","","export(ngeo_logical_hash)"
"export:ngeo_longitudinal_change","export","ngeo_longitudinal_change","stable","core-api","","","export(ngeo_longitudinal_change)"
"export:ngeo_materialize_spatiotemporal_weights","export","ngeo_materialize_spatiotemporal_weights","stable","core-api","","","export(ngeo_materialize_spatiotemporal_weights)"
"export:ngeo_maup_sensitivity","export","ngeo_maup_sensitivity","stable","neuroimaging-methods","","","export(ngeo_maup_sensitivity)"
"export:ngeo_measure","export","ngeo_measure","stable","core-api","","","export(ngeo_measure)"
"export:ngeo_measures","export","ngeo_measures","stable","core-api","","","export(ngeo_measures)"
"export:ngeo_mgwr","export","ngeo_mgwr","experimental","statistical-methods","","","export(ngeo_mgwr)"
"export:ngeo_migrate_5x","export","ngeo_migrate_5x","stable","core-api","","","export(ngeo_migrate_5x)"
"export:ngeo_migrate_support_map_exchange","export","ngeo_migrate_support_map_exchange","stable","neuroimaging-methods","","","export(ngeo_migrate_support_map_exchange)"
"export:ngeo_model_calibration","export","ngeo_model_calibration","stable","statistical-methods","","","export(ngeo_model_calibration)"
"export:ngeo_moran","export","ngeo_moran","stable","statistical-methods","","","export(ngeo_moran)"
"export:ngeo_moran_null","export","ngeo_moran_null","stable","statistical-methods","","","export(ngeo_moran_null)"
"export:ngeo_multiscale_inference","export","ngeo_multiscale_inference","stable","core-api","","","export(ngeo_multiscale_inference)"
"export:ngeo_neighbors","export","ngeo_neighbors","stable","core-api","","","export(ngeo_neighbors)"
"export:ngeo_nonseparable_hotspots","export","ngeo_nonseparable_hotspots","stable","statistical-methods","","","export(ngeo_nonseparable_hotspots)"
"export:ngeo_object_manifest","export","ngeo_object_manifest","stable","reproducibility-engineering","","","export(ngeo_object_manifest)"
"export:ngeo_operator_graph","export","ngeo_operator_graph","stable","neuroimaging-methods","","","export(ngeo_operator_graph)"
"export:ngeo_operator_path","export","ngeo_operator_path","stable","neuroimaging-methods","","","export(ngeo_operator_path)"
"export:ngeo_parcellation","export","ngeo_parcellation","stable","core-api","","","export(ngeo_parcellation)"
"export:ngeo_parcellation_inference","export","ngeo_parcellation_inference","stable","core-api","","","export(ngeo_parcellation_inference)"
"export:ngeo_partition","export","ngeo_partition","stable","neuroimaging-methods","","","export(ngeo_partition)"
"export:ngeo_permutation_control","export","ngeo_permutation_control","stable","core-api","","","export(ngeo_permutation_control)"
"export:ngeo_point","export","ngeo_point","stable","core-api","","","export(ngeo_point)"
"export:ngeo_probabilistic_atlas_map","export","ngeo_probabilistic_atlas_map","stable","neuroimaging-methods","","","export(ngeo_probabilistic_atlas_map)"
"export:ngeo_project_surface","export","ngeo_project_surface","stable","core-api","","","export(ngeo_project_surface)"
"export:ngeo_qc","export","ngeo_qc","stable","core-api","","","export(ngeo_qc)"
"export:ngeo_read_artifact_batch","export","ngeo_read_artifact_batch","stable","io","","","export(ngeo_read_artifact_batch)"
"export:ngeo_record_replay","export","ngeo_record_replay","stable","reproducibility-engineering","","","export(ngeo_record_replay)"
"export:ngeo_region_adjacency","export","ngeo_region_adjacency","stable","core-api","","","export(ngeo_region_adjacency)"
"export:ngeo_register_space","export","ngeo_register_space","stable","core-api","","","export(ngeo_register_space)"
"export:ngeo_registration_ensemble","export","ngeo_registration_ensemble","stable","core-api","","","export(ngeo_registration_ensemble)"
"export:ngeo_relation","export","ngeo_relation","stable","core-api","","","export(ngeo_relation)"
"export:ngeo_replay","export","ngeo_replay","stable","reproducibility-engineering","","","export(ngeo_replay)"
"export:ngeo_replay_step","export","ngeo_replay_step","stable","reproducibility-engineering","","","export(ngeo_replay_step)"
"export:ngeo_resample","export","ngeo_resample","stable","neuroimaging-methods","","","export(ngeo_resample)"
"export:ngeo_resampling_diagnostics","export","ngeo_resampling_diagnostics","stable","neuroimaging-methods","","","export(ngeo_resampling_diagnostics)"
"export:ngeo_resampling_plan","export","ngeo_resampling_plan","stable","neuroimaging-methods","","","export(ngeo_resampling_plan)"
"export:ngeo_resistance_distance","export","ngeo_resistance_distance","stable","statistical-methods","","","export(ngeo_resistance_distance)"
"export:ngeo_resolve_space","export","ngeo_resolve_space","stable","core-api","","","export(ngeo_resolve_space)"
"export:ngeo_resource_budget","export","ngeo_resource_budget","stable","reproducibility-engineering","","","export(ngeo_resource_budget)"
"export:ngeo_segmentation_ensemble","export","ngeo_segmentation_ensemble","stable","core-api","","","export(ngeo_segmentation_ensemble)"
"export:ngeo_set_chart","export","ngeo_set_chart","stable","core-api","","","export(ngeo_set_chart)"
"export:ngeo_set_time_axis","export","ngeo_set_time_axis","stable","core-api","","","export(ngeo_set_time_axis)"
"export:ngeo_solver_control","export","ngeo_solver_control","stable","core-api","","","export(ngeo_solver_control)"
"export:ngeo_spatial_base","export","ngeo_spatial_base","stable","statistical-methods","","","export(ngeo_spatial_base)"
"export:ngeo_spatial_basis","export","ngeo_spatial_basis","stable","statistical-methods","","","export(ngeo_spatial_basis)"
"export:ngeo_spatial_lm","export","ngeo_spatial_lm","stable","statistical-methods","","","export(ngeo_spatial_lm)"
"export:ngeo_spatial_ordination","export","ngeo_spatial_ordination","experimental","statistical-methods","","","export(ngeo_spatial_ordination)"
"export:ngeo_spatial_regression","export","ngeo_spatial_regression","stable","statistical-methods","","","export(ngeo_spatial_regression)"
"export:ngeo_spatial_regression_iterative","export","ngeo_spatial_regression_iterative","stable","statistical-methods","","","export(ngeo_spatial_regression_iterative)"
"export:ngeo_spatial_regression_uncertainty","export","ngeo_spatial_regression_uncertainty","stable","statistical-methods","","","export(ngeo_spatial_regression_uncertainty)"
"export:ngeo_spatial_weights","export","ngeo_spatial_weights","stable","statistical-methods","","","export(ngeo_spatial_weights)"
"export:ngeo_spatiotemporal_lag","export","ngeo_spatiotemporal_lag","stable","core-api","","","export(ngeo_spatiotemporal_lag)"
"export:ngeo_spatiotemporal_moran","export","ngeo_spatiotemporal_moran","stable","statistical-methods","","","export(ngeo_spatiotemporal_moran)"
"export:ngeo_spatiotemporal_variogram","export","ngeo_spatiotemporal_variogram","stable","statistical-methods","","","export(ngeo_spatiotemporal_variogram)"
"export:ngeo_spatiotemporal_weights","export","ngeo_spatiotemporal_weights","stable","core-api","","","export(ngeo_spatiotemporal_weights)"
"export:ngeo_spin_null","export","ngeo_spin_null","experimental","core-api","","","export(ngeo_spin_null)"
"export:ngeo_stream_covariance","export","ngeo_stream_covariance","stable","core-api","","","export(ngeo_stream_covariance)"
"export:ngeo_stream_lm","export","ngeo_stream_lm","stable","core-api","","","export(ngeo_stream_lm)"
"export:ngeo_stream_moran","export","ngeo_stream_moran","stable","statistical-methods","","","export(ngeo_stream_moran)"
"export:ngeo_stream_summary","export","ngeo_stream_summary","stable","core-api","","","export(ngeo_stream_summary)"
"export:ngeo_subset","export","ngeo_subset","stable","core-api","","","export(ngeo_subset)"
"export:ngeo_support_adjust","export","ngeo_support_adjust","stable","neuroimaging-methods","","","export(ngeo_support_adjust)"
"export:ngeo_support_condition","export","ngeo_support_condition","stable","neuroimaging-methods","","","export(ngeo_support_condition)"
"export:ngeo_support_covariance","export","ngeo_support_covariance","stable","neuroimaging-methods","","","export(ngeo_support_covariance)"
