"document_id","locale","content_type","lifecycle","source","code_source","route","title","counterpart_route","translation_status","source_sha256","code_sha256","shared_code_source","shared_code_sha256","route_sha256","edit_url"
"guide","en","start-here","stable","website/en/guide/index.md","","/en/guide/","Installation and basic use","/guide/","paired","1eb4cae47ba3859a028756e22d4680fe2facf365ff58d454d3b2c862a7c9443b","","","","7a4b9cf2ed4d0fe2688570872ff035667d00103c62bcab16e28e1396f9cbc9d3","https://github.com/zh1peng/neurogeo/edit/main/website/en/guide/index.md"
"guide","zh-CN","start-here","stable","website/guide/index.md","","/guide/","安装与第一个空间分析","/en/guide/","paired","11a2c1a69e40c04e4b1745d538a6b1b837046e15e78742e527a269628e557e1f","","","","f33c9f27801051e43539775f3d5cb8cca92407bee9ff7c14e183db59d0b6d4c6","https://github.com/zh1peng/neurogeo/edit/main/website/guide/index.md"
"home","en","start-here","stable","website/en/index.md","","/en/","neurogeo","/","paired","9970431c0e0de3ec5177cc9fa545f55c11dd201a1070d52c7efe13981fea60e5","","","","75700f3d92875a091e48a1c21f5da2b09f469dbf6bcdfa8aaed90d3f22fa7d4e","https://github.com/zh1peng/neurogeo/edit/main/website/en/index.md"
"home","zh-CN","start-here","stable","website/index.md","","/","neurogeo","/en/","paired","b25577981d16de285cf15ebdecd9595e60b44a55fef28f4a2bf459110e1c4ea0","","","","17a978eb1831634cba9b0125201ea88b483aad2ad15e01e2bbb1fdee2c90a98a","https://github.com/zh1peng/neurogeo/edit/main/website/index.md"
"installation","en","start-here","stable","website/en/guide/installation.md","","/en/guide/installation","Installation, version pinning, and optional backends","/guide/installation","paired","d0edf55b0838379ef1bd91254d78b5f035258ca07abc2ebb40d4cd8b9297984c","","","","3bc6a8a7ca1cf4b7d2e387d26fc150653563b6951eefa2240c79c0e30eef028b","https://github.com/zh1peng/neurogeo/edit/main/website/en/guide/installation.md"
"installation","zh-CN","start-here","stable","website/guide/installation.md","","/guide/installation","安装、版本固定与可选后端","/en/guide/installation","paired","076bfd3ff0d479621448c27824b8fba830873218461558700cf1ff41d0fce2a7","","","","e69f54882fc09655b351f3a14ed8dfbaa5106007a3627f7e9c5842538ff7daf5","https://github.com/zh1peng/neurogeo/edit/main/website/guide/installation.md"
"readme","neutral","start-here","stable","README.md","","/readme","README","","not-applicable","4a9c4c349f6faa56d4556296a80f509d1f5074b9fa46719f5cfc04e5102c3fc2","","","","fd4200c82222d935a4f4b483867b38a798a803cb071c9cf97d54e81d5f8da818","https://github.com/zh1peng/neurogeo/edit/main/README.md"
"bounded-execution","en","validation","stable","vignettes/bounded-execution.Rmd","","/en/modules/bounded-execution","Bounded execution on vertex and DK case-control data","/modules/bounded-execution","paired","60e70b6f161c2ae1721202176ed32c8ace9bd127967d9970b573de2edc7b75e3","","inst/tutorial-code/brain-case-study.R","abda2dcc40d77d7b3340150f13195a07d9632b80e472586c07c3c9551f517a7c","114353ac04f65675ab16b7c9809caf02036933a9fdcfbc2802aecfb7b20d8ab6","https://github.com/zh1peng/neurogeo/edit/main/vignettes/bounded-execution.Rmd"
"bounded-execution","zh-CN","validation","stable","vignettes/bounded-execution-zh.Rmd","","/modules/bounded-execution","Conte69 vertex 与 DK68 case-control 数据的有界执行","/en/modules/bounded-execution","paired","5db82072edb730ed21c39034a46c94ca4c66b3289829454dd7537d216cebe67e","","inst/tutorial-code/brain-case-study.R","abda2dcc40d77d7b3340150f13195a07d9632b80e472586c07c3c9551f517a7c","bf8a90395c83d5c309a33cdadc6c72da5335e3dd6cc3e45eb2a6a5cbebef8483","https://github.com/zh1peng/neurogeo/edit/main/vignettes/bounded-execution-zh.Rmd"
"quality-control","en","validation","stable","vignettes/quality-control.Rmd","","/en/modules/quality-control","Quality control for DK68 and vertex case-control data","/modules/quality-control","paired","70ce8cb39d50a386ca5dacf18a4732d4916ff48d605ca7d83a3b43d2ac1583cf","","inst/tutorial-code/brain-case-study.R","abda2dcc40d77d7b3340150f13195a07d9632b80e472586c07c3c9551f517a7c","02ddaafe7d6adf39c749e11389c62318b95bd0813a99287e9e7a63c30df8667c","https://github.com/zh1peng/neurogeo/edit/main/vignettes/quality-control.Rmd"
"quality-control","zh-CN","validation","stable","vignettes/quality-control-zh.Rmd","","/modules/quality-control","DK68 cohort 与 Conte69 vertex 数据的质量控制","/en/modules/quality-control","paired","af2a364bacc0c2d2f4c364ae2733d04a19288a2a086baa622e50fbc8d1cdc225","","inst/tutorial-code/brain-case-study.R","abda2dcc40d77d7b3340150f13195a07d9632b80e472586c07c3c9551f517a7c","0ed79bf49e4eb9865db4fb5719dfd4a47855ad66308e0af19914951f2ce88a92","https://github.com/zh1peng/neurogeo/edit/main/vignettes/quality-control-zh.Rmd"
"reproducible-replay","en","validation","stable","vignettes/reproducible-replay.Rmd","","/en/modules/reproducible-replay","Reproducible replay of a DK case-control cortical selection","/modules/reproducible-replay","paired","0274b7b0a69247f239ba5936feb950087f09fbd3403e4e54ed44da64080a3155","","inst/tutorial-code/brain-case-study.R","abda2dcc40d77d7b3340150f13195a07d9632b80e472586c07c3c9551f517a7c","c7382e391049990f7e70a3b0b9836b31ce5f4ca22c9394af2dded3eccac16f9e","https://github.com/zh1peng/neurogeo/edit/main/vignettes/reproducible-replay.Rmd"
"reproducible-replay","zh-CN","validation","stable","vignettes/reproducible-replay-zh.Rmd","","/modules/reproducible-replay","DK68 cortical selection 与 Conte69 结果的可复现 replay","/en/modules/reproducible-replay","paired","8792a45f8ede36296ba580d96cc43e627ae78eba43f8320e7cfed65f636d0a63","","inst/tutorial-code/brain-case-study.R","abda2dcc40d77d7b3340150f13195a07d9632b80e472586c07c3c9551f517a7c","f75138d02cadabdd87e5ea1acc1d31d42b27ff5398d6551efc626ec21fc67675","https://github.com/zh1peng/neurogeo/edit/main/vignettes/reproducible-replay-zh.Rmd"
"schema-validation","en","validation","stable","vignettes/schema-validation.Rmd","","/en/modules/schema-validation","Schema validation and portable manifests","/modules/schema-validation","paired","4fc84708107cbaafd20f1e7abcc1eae60c05b54138773c8fbad6f578e74b62aa","","","","6969ca6260ed16ac291aa51075f5d350f56fd0d86243d4634b70b83955be3cab","https://github.com/zh1peng/neurogeo/edit/main/vignettes/schema-validation.Rmd"
"schema-validation","zh-CN","validation","stable","vignettes/schema-validation-zh.Rmd","","/modules/schema-validation","DK68 与 Conte69 对象的 schema、alignment 和 manifest","/en/modules/schema-validation","paired","6aad81f2a9b50024f84c76430d919da0beac19f819a2cf85862192f6e6586583","","inst/tutorial-code/brain-case-study.R","abda2dcc40d77d7b3340150f13195a07d9632b80e472586c07c3c9551f517a7c","bbcf7cf989683b6b6de2f3150067ed7a89bd3f6193b44ea6f97a2db0255fdade","https://github.com/zh1peng/neurogeo/edit/main/vignettes/schema-validation-zh.Rmd"
