task_id,phase,dependencies,external_required,status,evidence
IA-101,Phase1,DOC-101,false,implemented-internal,website/guide/index.md
DATA-101,Phase1,TERM-001,false,implemented-internal,inst/extdata/tutorial-fixtures-6.0.csv
TUT-101,Phase1,API-104;DATA-101,true,external-evidence-pending,inst/validation/formative-usability-6.0.md
INSTALL-101,Phase1,ADR-101,false,implemented-internal,README.md
ERROR-101,Phase1,TERM-001,false,implemented-internal,inst/spec/condition-contracts-6.0.csv
ENG-201,Phase2,REL-001,false,implemented-internal,inst/spec/validation-registry-6.0.csv
ENG-202,Phase2,API-101,false,implemented-internal,inst/spec/resource-budget-6.0.md
ENG-203,Phase2,REL-001;ENG-201,false,implemented-internal,.github/workflows/R-CMD-check.yaml
DOC-201,Phase2,API-101;SCI-102,false,implemented-internal,inst/validation/stable-api-doc-coverage-6.0.csv
TUT-201,Phase2,TUT-101;DATA-101,false,implemented-internal,vignettes/format-workflows.Rmd
LOC-201,Phase2,IA-101;TUT-201;DOC-201,false,implemented-internal,tools/check-localization-contract-60.R
ENG-204,Phase2,API-101;ERROR-101,false,implemented-internal,inst/spec/condition-contracts-6.0.csv
ENG-205,Phase2,API-101;ENG-201,false,implemented-internal,inst/validation/function-complexity-ceilings-6.0.csv
ENG-206,Phase2,DOC-101;ENG-201,false,implemented-internal,inst/spec/package-size-baseline-6.0.csv
ENG-207,Phase2,API-105;REL-001,false,implemented-internal,inst/spec/source-identity-6.0.md
SEC-201,Phase2,none,true,external-evidence-pending,SECURITY.md
REL-201,Phase2,REL-002;ADR-101;ENG-201;ENG-203;ENG-206;ENG-207;SEC-201;DOC-201;LOC-201,true,external-evidence-pending,inst/spec/release-process-6.0.md
PUB-301,Phase3,SCI-102;REL-002,false,implemented-internal,inst/validation/analysis-plan-6.0.md
VAL-301,Phase3,PUB-301;SCI-FIX-002;SCI-FIX-003,false,design-amendment-required,inst/validation/val301-design-audit-6.0.md
VAL-302,Phase3,PUB-301;SCI-FIX-004,true,blocked-external-prerequisites,inst/validation/val302-external-reference-protocol-6.0.md
VAL-303,Phase3,PUB-301;SCI-102,false,implemented-internal-with-restriction,tools/run-val303-sampling-unit-60.R
VAL-304,Phase3,PUB-301;VAL-303,false,implemented-internal,tools/run-val304-cross-atlas-60.R
VAL-305,Phase3,PUB-301;SCI-101,false,implemented-internal-with-restriction,tools/run-val305-operator-simplex-60.R
VAL-306,Phase3,PUB-301;SCI-FIX-004;SCI-FIX-005,false,implemented-internal-with-restriction,tools/run-val306-spatial-models-60.R
VAL-307,Phase3,PUB-301;VAL-302,false,implemented-internal,tools/run-val307-support-builder-60.R
VAL-308,Phase3,PUB-301;ENG-203;VAL-301;VAL-302;VAL-303;VAL-304;VAL-305;VAL-306;VAL-307,false,partial-internal,inst/validation/val308-coverage-audit-6.0.md
UX-301,Phase3,LOC-201;REL-201,true,external-evidence-pending,inst/validation/ux301-protocol-6.0.md
PUB-401,Phase4,VAL-302;VAL-307,true,blocked-by-prerequisite,inst/validation/phase4-external-study-protocol-6.0.md
PUB-402,Phase4,PUB-301;VAL-301;VAL-302;VAL-303;VAL-304;VAL-305;VAL-306;VAL-307;VAL-308,true,blocked-by-prerequisite,inst/validation/phase4-external-study-protocol-6.0.md
PUB-403,Phase4,PUB-402,true,blocked-by-prerequisite,inst/validation/phase4-external-study-protocol-6.0.md
PUB-404,Phase4,REL-201;PUB-402;PUB-403,true,blocked-by-prerequisite,inst/validation/phase4-external-study-protocol-6.0.md
PUB-405,Phase4,REL-201;PUB-401;PUB-402;PUB-403;PUB-404,true,blocked-by-prerequisite,inst/validation/phase4-external-study-protocol-6.0.md
PUB-406,Phase4,PUB-301;PUB-402;PUB-403;PUB-404;PUB-405,true,blocked-by-prerequisite,inst/validation/phase4-external-study-protocol-6.0.md
PUB-407,Phase4,PUB-406,true,blocked-by-prerequisite,inst/validation/phase4-external-study-protocol-6.0.md
